date,pnl,n_trades
2022-11-20,129.82,1
2022-11-21,94.5,1
2022-11-26,-45.32,1
2022-11-27,94.5,1
2022-11-28,94.5,1
2022-11-29,-211.95,1
2022-11-30,606.5,2
2022-12-01,94.5,1
2022-12-02,242.98,2
2022-12-04,94.5,1
2022-12-05,-211.95,1
2022-12-06,138.78,1
2022-12-07,-211.95,1
2022-12-08,144.95,1
2022-12-09,94.5,1
2022-12-13,-117.44999999999999,2
2022-12-14,-211.95,1
2022-12-15,-211.95,1
2022-12-16,-211.95,1
2022-12-17,229.97,1
2022-12-18,21.39,1
2022-12-20,-117.44999999999999,2
2022-12-22,165.39,1
2022-12-23,-43.19,1
2022-12-27,101.81,1
2022-12-28,136.39,1
2022-12-31,94.5,1
2023-01-03,-4.05,1
2023-01-04,-211.95,1
2023-01-07,-118.55,1
2023-01-10,94.5,1
2023-01-11,160.17,1
2023-01-12,94.5,1
2023-01-13,416.11,1
2023-01-18,-211.95,1
2023-01-23,94.5,1
2023-01-24,-211.95,1
2023-01-26,94.5,1
2023-01-27,355.39,2
2023-01-29,116.22,1
2023-01-30,-423.9,2
2023-01-31,-211.95,1
2023-02-01,-211.95,1
2023-02-02,94.5,1
2023-02-03,-211.95,1
2023-02-04,-47.64,1
2023-02-06,234.38,2
2023-02-07,-211.95,1
2023-02-08,94.5,1
2023-02-09,383.72,1
2023-02-10,189.0,2
2023-02-12,-211.95,1
2023-02-14,-211.95,1
2023-02-15,-211.95,1
2023-02-16,246.76,1
2023-02-19,-211.95,1
2023-02-20,94.5,1
2023-02-21,-211.95,1
2023-02-26,-211.95,1
2023-02-27,163.0,1
2023-02-28,122.85,1
2023-03-01,94.5,1
2023-03-02,-211.95,1
2023-03-03,729.95,1
2023-03-05,-211.95,1
2023-03-06,189.0,2
2023-03-07,210.41,1
2023-03-08,94.5,1
2023-03-09,846.19,2
2023-03-22,-211.95,1
2023-03-31,94.5,1
2023-04-02,-217.63,2
2023-04-03,-423.9,2
2023-04-05,202.8,1
2023-04-06,94.5,1
2023-04-09,-214.23999999999998,2
2023-04-11,100.23,1
2023-04-12,189.0,2
2023-04-14,-18.689999999999998,2
2023-04-16,-37.66,1
2023-04-17,-211.95,1
2023-04-18,330.46000000000004,2
2023-04-19,-423.9,2
2023-04-20,191.19,1
2023-04-22,-211.95,1
2023-04-23,189.0,2
2023-04-24,152.7,1
2023-04-25,-211.95,1
2023-04-26,-211.95,1
2023-05-01,-211.95,1
2023-05-02,-211.95,1
2023-05-03,-211.95,1
2023-05-04,164.67,1
2023-05-07,189.0,2
2023-05-08,684.71,2
2023-05-09,94.5,1
2023-05-10,-107.26999999999998,2
2023-05-13,94.5,1
2023-05-15,94.5,1
2023-05-17,-42.78999999999999,2
2023-05-19,94.5,1
2023-05-21,127.96,1
2023-05-23,-211.95,1
2023-05-24,262.63,1
2023-05-25,-109.16999999999999,2
2023-05-27,-67.26,1
2023-05-28,-117.44999999999999,2
2023-05-29,-211.95,1
2023-05-30,94.5,1
2023-05-31,-85.57,2
2023-06-01,94.5,1
2023-06-03,-118.67,1
2023-06-04,14.93,1
2023-06-05,-211.95,1
2023-06-06,-211.95,1
2023-06-07,474.69000000000005,2
2023-06-09,94.5,1
2023-06-10,-211.95,1
2023-06-11,-211.95,1
2023-06-12,94.5,1
2023-06-13,-211.95,1
2023-06-14,94.5,1
2023-06-15,-211.95,1
2023-06-16,-211.95,1
2023-06-17,301.9,2
2023-06-19,94.5,1
2023-06-20,160.68,1
2023-06-23,437.89,1
2023-06-24,94.5,1
2023-06-25,122.35,1
2023-06-26,-117.44999999999999,2
2023-06-28,-117.44999999999999,2
2023-07-03,102.68,1
2023-07-04,-211.95,1
2023-07-06,-211.95,1
2023-07-07,-211.95,1
2023-07-09,38.92,1
2023-07-10,-211.95,1
2023-07-11,96.78,1
2023-07-13,-211.95,1
2023-07-14,-211.95,1
2023-07-17,198.78,1
2023-07-18,144.47,1
2023-07-19,94.5,1
2023-07-20,134.52,1
2023-07-21,94.5,1
2023-07-22,94.5,1
2023-07-24,152.72,1
2023-07-26,-34.56,1
2023-07-27,217.49,2
2023-07-29,16.87,1
2023-07-31,126.16,1
2023-08-01,-211.95,1
2023-08-02,-211.95,1
2023-08-04,-0.71,1
2023-08-08,-211.95,1
2023-08-09,94.5,1
2023-08-10,94.5,1
2023-08-14,94.5,1
2023-08-17,763.54,1
2023-08-21,189.0,2
2023-08-23,-211.95,1
2023-08-24,-211.95,1
2023-08-25,94.5,1
2023-08-28,94.5,1
2023-08-29,-211.95,1
2023-08-31,-117.44999999999999,2
2023-09-01,94.5,1
2023-09-03,29.02,1
2023-09-04,189.0,2
2023-09-07,-107.07,1
2023-09-08,94.5,1
2023-09-11,499.94,2
2023-09-12,-211.95,1
2023-09-13,94.5,1
2023-09-15,-102.18,1
2023-09-17,-4.51,1
2023-09-18,-41.95999999999998,2
2023-09-19,94.5,1
2023-09-20,189.0,2
2023-09-21,-211.95,1
2023-09-24,250.05,1
2023-09-26,33.88,1
2023-09-27,-211.95,1
2023-09-28,-211.95,1
2023-10-02,22.590000000000003,2
2023-10-04,94.5,1
2023-10-06,189.0,2
2023-10-09,74.76,2
2023-10-11,-14.669999999999987,2
2023-10-13,4.7,1
2023-10-14,94.5,1
2023-10-15,-211.95,1
2023-10-16,-211.95,1
2023-10-19,131.89,2
2023-10-21,107.14,1
2023-10-22,94.5,1
2023-10-23,132.12,1
2023-11-01,-64.55,1
2023-11-02,-211.95,1
2023-11-04,94.5,1
2023-11-05,-211.95,1
2023-11-06,269.97,2
2023-11-07,290.32,1
2023-11-09,412.26,1
2023-11-10,220.7,2
2023-11-12,94.5,1
2023-11-13,-211.95,1
2023-11-14,-211.95,1
2023-11-18,94.5,1
2023-11-19,202.47,1
2023-11-20,94.5,1
2023-11-21,562.71,1
2023-11-23,94.5,1
2023-11-25,-98.91,1
2023-11-26,94.5,1
2023-11-28,-211.95,1
2023-11-29,94.5,1
2023-11-30,-128.38,1
2023-12-01,130.63,1
2023-12-03,147.25,1
2023-12-04,206.54,1
2023-12-05,161.6,1
2023-12-07,-211.95,1
2023-12-08,162.19,1
2023-12-10,-93.61,1
2023-12-11,-211.95,1
2023-12-17,216.77,1
2023-12-18,-117.44999999999999,2
2023-12-20,459.65,1
2023-12-21,94.5,1
2023-12-23,-94.86,1
2023-12-24,-211.95,1
2023-12-25,94.5,1
